Author	Type	Font	URL	Language	Related
ACT-02	黑体	苹果平方（第三方）PingFangUI-VF	https://github.com/ACT-02/PingFangUI-VF/		
Adobe	【等宽】	adobe-fonts/source-han-mono 思源等宽 / Source Han Mono	https://github.com/adobe-fonts/source-han-mono	中日韩文	
Adobe	宋体	adobe-fonts/source-han-serif 思源宋体 / Source Han Serif	https://github.com/adobe-fonts/source-han-serif	中日韩文	
Adobe	黑体	adobe-fonts/source-han-sans 思源黑体 / Source Han Sans	https://github.com/adobe-fonts/source-han-sans	中日韩文	
Buernia	【美术字】	Buernia/Tiejili 铁蒺藜体	https://github.com/Buernia/Tiejili	中文	Reggae One
Buernia	黑体	Buernia/Zhudou-Sans 煮豆黑体 Zhudou Sans	https://github.com/Buernia/Zhudou-Sans	中日文	Noto Sans & 思源黑体
ButTaiwan	圆体	ButTaiwan/gensen-font 源泉圓體	https://github.com/ButTaiwan/gensen-font	繁體中文	思源黑体
ButTaiwan	宋体	ButTaiwan/genryu-font 源流明體	https://github.com/ButTaiwan/genryu-font	繁體中文	思源宋体
ButTaiwan	宋体	ButTaiwan/genwan-font 源雲明體	https://github.com/ButTaiwan/genwan-font	繁體中文	思源宋体
ButTaiwan	宋体	ButTaiwan/genyo-font 源樣明體	https://github.com/ButTaiwan/genyo-font	繁體中文	思源宋体
ButTaiwan	楷体	ButTaiwan/iansui 芫荽 / iansui	https://github.com/ButTaiwan/iansui	繁體中文	Klee One
ButTaiwan	黑体	ButTaiwan/genseki-font 源石黑體	https://github.com/ButTaiwan/genseki-font	繁體中文	思源黑体
ButTaiwan	黑体	ButTaiwan/genyog-font 源樣黑體	https://github.com/ButTaiwan/genyog-font	繁體中文	思源黑体
Chenyu-otf	【手写】	Chenyu-otf/chenyuluoyan_thin 辰宇落雁體	https://github.com/Chenyu-otf/chenyuluoyan_thin	繁體中文	
Fitzgerald等	宋体	遍黑体	https://github.com/Fitzgerald-Porthmouth-Koenigsegg/Plangothic-Project	中文	思源黑体
Fontworks	楷体	fontworks-fonts/Klee Klee One	https://github.com/fontworks-fonts/Klee	日文	
FWHP-Enfun	楷体	FWHP-Enfun/Mixed-VsWeKai 混菜寫楷 / Mixed VsWeKai	https://github.com/FWHP-Enfun/Mixed-VsWeKai	中文	霞鹜文楷&芫荽
GlyphWiki/AFDKO	宋体	花園フォント(花园明朝 / HanaMin)	https://glyphwiki.org/hanazono/	中日文等	
Google	【多种】	notofonts/noto-cjk Noto CJK fonts (Noto Sans CJK & Noto Serif CJK)	https://github.com/notofonts/noto-cjk	中日韩文	
GuiWonder	【多种】	GuiWonder/Shanggu 尚古 / Shanggu Fonts	https://github.com/GuiWonder/Shanggu	中日韩文	思源黑体
Henry Chan	宋体	hfhchan/hkcs 香港民間字集 (HKCS)	https://github.com/hfhchan/hkcs	中文	
Honoka55	宋体	Honoka55/HuayuanSongL3 花园宋体 L3 / HuayuanSong L3	https://github.com/Honoka55/HuayuanSongL3	中文	
HowardZorn	宋体	HowardZorn/Source-Han-SimSun	https://github.com/HowardZorn/Source-Han-SimSun		
IBM	【多种】	IBM Plex等	https://github.com/IBM/plex	多语言	
ItMarki	【点阵】	ItMarki/MisekiBitmap 美绩点阵体 / MisekiBitmap	https://github.com/ItMarki/MisekiBitmap	中文	美咲ゴチック
ItMarki	楷体	ItMarki/jyunsaikaai 芫茜雅楷 JyunsaiKaai	https://github.com/ItMarki/jyunsaikaai	繁體中文（香港）	Klee One
kamichikoichi	【多种】	Jigmo（字云）フォント	https://kamichikoichi.github.io/jigmo/	中文、日文等	花园明朝扩充？
max32002	【手写】	max32002/naikaifont 內海字體 / Naikai font	https://github.com/max32002/naikaifont	繁體中文	濑户字体
max32002	宋体	B2花園 (B2 Hana) / 花園肉丸 (Hana Meatball)	https://github.com/max32002/max-hana	中文	花园明朝
MEE-Developers	【多种】	MEE-Developers/Mizuki-Ming 水木明体 / 水木明朝	https://github.com/MEE-Developers/Mizuki-Ming	中文	IPA 明朝
MoonlitOwen	宋体	MoonlitOwen/CactusSerif 仙人掌明體 Cactus Classical Serif	https://github.com/MoonlitOwen/CactusSerif	中文	
MY1L	【多种】	MY1L/Ctrl 尺规	https://github.com/MY1L/Ctrl	中文	
MY1L	【多种】	MY1L/HanItalic SrcMincho/源意明朝	https://github.com/MY1L/HanItalic	中文	
MY1L	隶体	MY1L/CoQuBeLi 曹全碑隶（曺全碑隸）	https://github.com/MY1L/CoQuBeLi	中文	
Nowar Typeface	圆体	nowar-fonts/Nowar-Rounded 有爱圆体 / Nowar Rounded	https://github.com/nowar-fonts/Nowar-Rounded	中日韩文	
Nowar Typeface	黑体	nowar-fonts/Nowar-CnC 有爱锐方 / Nowar C²	https://github.com/nowar-fonts/Nowar-CnC	中日韩文	
Nowar Typeface	黑体	nowar-fonts/Nowar-Neo-Sans 有爱新黑 / Nowar Neo Sans	https://github.com/nowar-fonts/Nowar-Neo-Sans	中日韩文	
Nowar Typeface	黑体	nowar-fonts/Nowar-Sans 有爱黑体 / Nowar Sans	https://github.com/nowar-fonts/Nowar-Sans	中日韩文	
OPPO	黑体	OPPO Sans	https://www.coloros.com/article/A00000050/	中文	汉仪字库
OPPO	黑体	OPPO Sans	https://www.coloros.com/article/A00000074/	中文	
Pal3love	黑体/宋体	Pal3love/dream-han-cjk 梦源字体	https://github.com/Pal3love/dream-han-cjk	中文	
Renzhi Li (be5invis)	黑体	be5invis/Sarasa-Gothic 更纱黑体 / Sarasa Gothic	https://github.com/be5invis/Sarasa-Gothic	中日韩文	Iosevka & 思源黑体
rewtnull	【多种】	rewtnull 字体文件	https://github.com/rewtnull/amigafonts	多语言	
shampee	【多种】	shampee 字体文件	https://github.com/shampee/fonts	多语言	
Starrylight	黑体	苹方字体 Windows 版本 - PingFang For Windows	https://www.figma.com/community/file/1089832205783108371/windows-pingfang-for-windows		
suyanali	【多种】	suyanali 字体文件	https://github.com/suyanali/blog/tree/main/post/fonts	中文	汉仪字库
tonyhuan	楷体	原俠正楷 / GuanKiapTsingKhai	https://github.com/tonyhuan/GuanKiapTsingKhai		
Tsong-Min Wu & Tsong-Huey Wu	【多种】	l10n-tw/cwtex-q-fonts cwTeX字体	https://github.com/l10n-tw/cwtex-q-fonts	繁體中文	
vivo	黑体	vivo Sans	https://developers.vivo.com/doc/d/314fa33cbaec4a93be351cd44757d9d9	中文	方正字体
